"doc_id","sentences","env","soc","gov","action","specificity","cti","CVR","Year","Revenue","Industry","Class","Corporate_structure","Region","Employees","env_soc_ratio"
"doc_1",6,0.5,0.166666666666667,0.666666666666667,0,0,NA,27528449,2020,"691671000","Construction","Large (C+)","Limited Liability Companies","Region Hovedstaden",33,1.28571428571429
"doc_10",12,0.0833333333333333,0.333333333333333,0.75,0,0,NA,37052086,2022,"1096795000","Finance and Insurance","Large (C+)","Limited Liability Companies","Region Hovedstaden",178,0.8125
"doc_100",32,0.25,0.625,0.21875,0.875,0.125,0.857142857142857,25529529,2023,"1868000000","Services","Large (C+)","Associations","Region Hovedstaden",638,0.769230769230769
"doc_1000",19,0.368421052631579,0.526315789473684,0.368421052631579,0.714285714285714,0.285714285714286,0.6,34599165,2021,"NULL","Finance and Insurance","Small (A-B)","Limited Liability Companies","Region Hovedstaden",0,0.896551724137931
"doc_10000",9,0.444444444444444,0.444444444444444,0.222222222222222,0.25,0,1,38149520,2019,"410228756","Finance and Insurance","Medium (C)","Limited Liability Companies","Region Midtjylland",93,1
"doc_10001",8,0.375,0.625,1,0,0,NA,66351912,2019,"421709000","Trade","Large (C+)","Limited Liability Companies","Region Hovedstaden",136,0.846153846153846
"doc_10002",2,0,0.5,1,NA,NA,NA,20226994,2020,"NULL","Real Estate","Medium (C)","Limited Liability Companies","Region Midtjylland",99,0.666666666666667
"doc_10003",25,0.28,0.48,0.32,0.714285714285714,0.142857142857143,0.8,38380001,2020,"544541000","Finance and Insurance","Large (C+)","Limited Liability Companies","Region Sjælland",262,0.864864864864865
"doc_10004",26,0.653846153846154,0.269230769230769,0.192307692307692,0.294117647058824,0.117647058823529,1,35636706,2020,"NULL","Finance and Insurance","Small (A-B)","Partnerships","Region Hovedstaden",0,1.3030303030303
"doc_10005",1,0,1,1,NA,NA,NA,37215228,2019,"499419000","Construction","Large (C+)","Limited Liability Companies","Region Syddanmark",297,0.5
"doc_10006",24,0.333333333333333,0.333333333333333,0.166666666666667,0.5,0.125,0.75,12560796,2018,"134,237,105,427,507","Knowledge Services","Large (C+)","Limited Liability Companies","Region Syddanmark",604,1
"doc_10007",11,0.454545454545455,0.272727272727273,0.363636363636364,0.6,0.2,0.666666666666667,66022218,2020,"358216000","Trade","Medium (C)","Limited Liability Companies","Region Midtjylland",92,1.14285714285714
"doc_10008",22,0.363636363636364,0.636363636363636,0.454545454545455,0.125,0.125,0,34729026,2019,"NULL","Finance and Insurance","Unknown","Partnerships","Region Hovedstaden",NA,0.833333333333333
"doc_10009",2,0,0.5,0,NA,NA,NA,25501918,2020,"880325000","Construction","Large (C+)","Limited Liability Companies","Region Hovedstaden",590,0.666666666666667
"doc_1001",18,0.111111111111111,0.388888888888889,0.5,0.5,0,1,42401102,2023,"2007703","Knowledge Services","Large (C+)","Limited Liability Companies","Region Hovedstaden",1084,0.8
"doc_10010",8,0.25,1,0.25,0,0.5,NA,14049673,2020,"2379130000","Transport","Large (C+)","Limited Liability Companies","Region Hovedstaden",297,0.625
"doc_10011",12,0.666666666666667,0.416666666666667,0.333333333333333,0.125,0,1,36687606,2020,"1394717000","Utilities","Small (A-B)","Partnerships","Region Syddanmark",0,1.17647058823529
"doc_10012",6,0,0.666666666666667,0.166666666666667,NA,NA,NA,74663028,2020,"NULL","Public and Social Services","Small (A-B)","Foundations","Region Nordjylland",51,0.6
"doc_10013",26,0.538461538461538,0.5,0.307692307692308,0.357142857142857,0.142857142857143,0.8,32788718,2019,"1894736000","Knowledge Services","Unknown","Limited Liability Companies","Region Hovedstaden",NA,1.02564102564103
"doc_10014",2,0.5,1,1,0,0,NA,33154224,2020,"531544161","Finance and Insurance","Large (C+)","Limited Liability Companies","Region Nordjylland",214,0.75
"doc_10016",4,0.5,0.75,0.75,0.5,0,1,41118814,2019,"746200000","Trade","Large (C+)","Limited Liability Companies","Region Midtjylland",249,0.857142857142857
"doc_10017",42,0.214285714285714,0.30952380952381,0.357142857142857,0.555555555555556,0.111111111111111,0.8,14749292,2020,"754713441","Trade","Large (C+)","Limited Liability Companies","Region Hovedstaden",154,0.927272727272727
"doc_10018",26,0.192307692307692,0.538461538461538,0.307692307692308,0,0,NA,51584511,2020,"877523000","Manufacturing","Large (C+)","Limited Liability Companies","Region Syddanmark",258,0.775
"doc_10019",13,0.692307692307692,0.538461538461538,0.461538461538462,0.333333333333333,0.111111111111111,1,26659868,2020,"1493255000","Finance and Insurance","Unknown","Limited Liability Companies","Region Hovedstaden",838,1.1
"doc_1002",20,0.6,0.4,0.35,0.5,0.166666666666667,0.666666666666667,13612870,2021,"6185009000","Trade","Large (C+)","Limited Liability Companies","Region Hovedstaden",456,1.14285714285714
"doc_10020",16,0.4375,0.4375,0.5625,0,0,NA,34713448,2020,"67200000","Real Estate","Large (C+)","Partnerships","Region Hovedstaden",NA,1
"doc_10021",30,0.266666666666667,0.4,0.4,0.375,0,1,16545996,2020,"NULL","Trade","Medium (C)","Limited Liability Companies","Region Midtjylland",45,0.904761904761905
"doc_10022",2,0,1,0.5,NA,NA,NA,39495937,2019,"NULL","Knowledge Services","Small (A-B)","Partnerships","Region Nordjylland",43,0.5
"doc_10023",20,0.1,0.55,0.4,0,0,NA,32308813,2018,"468551000","Information and Communication","Large (C+)","Limited Liability Companies","Region Hovedstaden",NA,0.709677419354839
"doc_10024",24,0.291666666666667,0.583333333333333,0.0833333333333333,0,0,NA,32774210,2019,"664100000","Knowledge Services","Unknown","Limited Liability Companies","Region Hovedstaden",246,0.815789473684211
"doc_10025",4,0.5,0.75,0.75,0,0,NA,19420604,2020,"1250427731","Trade","Large (C+)","Limited Liability Companies","Region Nordjylland",428,0.857142857142857
"doc_10026",5,0,0.2,0.6,NA,NA,NA,16994006,2018,"797736223","Trade","Large (C+)","Limited Liability Companies","Region Nordjylland",73,0.833333333333333
"doc_10028",4,0,0.5,0.75,NA,NA,NA,11498639,2019,"1012735000","Trade","Large (C+)","Limited Liability Companies","Region Sjælland",265,0.666666666666667
"doc_10029",24,0.291666666666667,0.458333333333333,0.458333333333333,0.571428571428571,0,1,39973774,2020,"1269188000","Finance and Insurance","Large (C+)","Limited Liability Companies","Region Hovedstaden",562,0.885714285714286
"doc_1003",25,0.08,0,0,0,0,NA,31762863,2023,"507000","Knowledge Services","Medium (C)","Limited Liability Companies","Region Hovedstaden",55,1.08
"doc_10030",4,0.25,0.75,0.75,1,0,1,75272014,2020,"12,978,256,528,246","Knowledge Services","Large (C+)","Limited Liability Companies","Region Hovedstaden",4,0.714285714285714
"doc_10031",27,0.481481481481481,0.111111111111111,0.185185185185185,0.769230769230769,0.307692307692308,0.6,30276582,2020,"665,635,896,972,289","Information and Communication","Unknown","Limited Liability Companies","Region Hovedstaden",738,1.33333333333333
"doc_10032",20,0.1,0.35,0.8,0,0,NA,76950016,2018,"71615898000","Knowledge Services","Large (C+)","Limited Liability Companies","Region Syddanmark",1761,0.814814814814815
"doc_10033",3,0.333333333333333,0.666666666666667,0.666666666666667,0,0,NA,21662534,2023,"695462000","Manufacturing","Large (C+)","Limited Liability Companies","Region Midtjylland",172,0.8
"doc_10034",35,0.114285714285714,0.571428571428571,0.4,0.25,0,1,40730044,2023,"1911010000","Services","Large (C+)","Limited Liability Companies","Region Hovedstaden",4469,0.709090909090909
"doc_10035",41,0.219512195121951,0.634146341463415,0.146341463414634,0.111111111111111,0,1,33493177,2023,"562716000","Finance and Insurance","Large (C+)","Limited Liability Companies","Region Hovedstaden",177,0.746268656716418
"doc_10036",22,0.136363636363636,0.727272727272727,0.272727272727273,0.333333333333333,0,1,38647539,2018,"1982796000","Finance and Insurance","Unknown","Limited Liability Companies","Region Midtjylland",NA,0.657894736842105
"doc_10037",33,0.151515151515152,0.484848484848485,0.151515151515152,0.6,0.2,1,29212716,2022,"464295000","Finance and Insurance","Large (C+)","Limited Liability Companies","Region Nordjylland",283,0.775510204081633
"doc_10038",3,0.333333333333333,0.666666666666667,0.666666666666667,0,0,NA,31371716,2018,"1764969000","Trade","Large (C+)","Limited Liability Companies","Region Syddanmark",406,0.8
"doc_10039",40,0.575,0.175,0.275,0.391304347826087,0.304347826086957,0.666666666666667,27001092,2021,"961691000","Information and Communication","Large (C+)","Limited Liability Companies","Region Midtjylland",682,1.34042553191489
"doc_1004",32,0.375,0.46875,0.09375,0.5,0,1,29829233,2023,"2040665488","Finance and Insurance","Large (C+)","Limited Liability Companies","Region Hovedstaden",374,0.936170212765957
"doc_10040",25,0.64,0.48,0.2,0.125,0,1,25481968,2021,"2909931000","Knowledge Services","Large (C+)","Limited Liability Companies","Region Midtjylland",NA,1.10810810810811
